ref_idx,hyp_idx,ref_pitch,hyp_pitch,ref_start_s,hyp_start_s,onset_err_ms,ref_end_s,hyp_end_s,offset_err_ms,pitch_equal
0,1,75,75,4.000000,4.090625,90.6,7.000000,5.153125,1846.9,1
1,2,79,79,4.000000,4.499479,499.5,6.986667,4.686979,2299.7,1
2,0,81,81,4.000000,4.080208,80.2,6.986667,4.830208,2156.5,1
3,9,54,54,7.333333,7.363021,29.7,7.575833,7.613021,37.2,1
5,10,56,56,7.833333,7.852083,18.7,8.007500,8.102083,94.6,1
6,11,57,57,8.000000,8.091146,91.1,11.041667,8.966146,2075.5,1
7,12,54,54,11.333333,11.364062,30.7,11.525833,11.614062,88.2,1
8,13,55,55,11.500000,11.583333,83.3,11.630000,11.770833,140.8,1
9,14,56,56,11.833333,11.852604,19.3,12.000000,12.102604,102.6,1
10,15,57,57,12.000000,12.082292,82.3,15.055000,13.082292,1972.7,1
11,16,56,56,15.333333,15.354687,21.4,15.541667,15.604687,63.0,1
12,17,55,55,15.500000,15.604167,104.2,15.653333,15.791667,138.3,1
13,18,54,54,15.833333,15.863542,30.2,15.979167,16.051042,71.9,1
14,19,53,53,16.000000,16.063021,63.0,19.018333,18.063021,955.3,1
15,20,54,54,19.333333,19.365625,32.3,19.541667,19.553125,11.5,1
16,21,55,55,19.500000,19.565104,65.1,19.630000,19.752604,122.6,1
17,22,56,56,19.833333,19.854688,21.4,19.990000,20.104688,114.7,1
18,23,57,57,20.000000,20.073958,74.0,23.052500,20.948958,2103.5,1
19,24,54,54,23.333333,23.366667,33.3,23.567500,23.616667,49.2,1
21,25,56,56,23.833333,23.865625,32.3,24.013333,24.053125,39.8,1
23,26,57,57,24.000000,24.075000,75.0,27.115000,25.075000,2040.0,1
29,27,76,76,26.333333,26.409896,76.6,26.497500,26.597396,99.9,1
33,28,56,56,27.333333,27.357812,24.5,27.528333,27.607812,79.5,1
37,30,54,54,27.833333,27.866667,33.3,28.007500,28.054167,46.7,1
38,31,81,81,27.833333,27.906250,72.9,27.997500,28.093750,96.2,1
39,33,53,53,28.000000,28.076042,76.0,31.127500,29.826042,1301.5,1
40,32,80,80,28.000000,28.066146,66.1,29.164167,29.191146,27.0,1
46,34,54,54,31.333333,31.358333,25.0,31.515833,31.608333,92.5,1
47,35,55,55,31.500000,31.578125,78.1,31.669167,31.765625,96.5,1
48,36,56,56,31.833333,31.847396,14.1,31.981667,32.097396,115.7,1
50,37,57,57,32.000000,32.077083,77.1,35.268333,32.952083,2316.3,1
60,38,55,55,35.333333,35.359375,26.0,35.536667,35.609375,72.7,1
62,39,56,56,35.500000,35.589062,89.1,35.685000,35.839062,154.1,1
64,40,57,57,35.833333,35.858333,25.0,36.132500,36.108333,24.2,1
66,41,58,58,36.000000,36.117708,117.7,39.049167,36.867708,2181.5,1
68,43,47,47,39.333333,39.390104,56.8,39.534167,39.640104,105.9,1
69,42,54,54,39.333333,39.350521,17.2,39.500000,39.538021,38.0,1
71,44,55,55,39.500000,39.559896,59.9,39.680000,39.809896,129.9,1
72,47,49,49,39.833333,39.889063,55.7,40.028333,40.076563,48.2,1
73,45,56,56,39.833333,39.839062,5.7,39.990000,40.089062,99.1,1
75,48,50,50,40.000000,40.058854,58.9,43.135833,41.433854,1702.0,1
76,49,57,57,40.000000,40.078646,78.6,43.132500,41.141146,1991.4,1
82,50,76,76,42.333333,42.413542,80.2,42.497500,42.538542,41.0,1
86,53,49,49,43.333333,43.391146,57.8,43.531667,43.578646,47.0,1
87,52,56,56,43.333333,43.351042,17.7,43.638333,43.788542,150.2,1
89,55,48,48,43.500000,43.560938,60.9,43.698333,43.748438,50.1,1
92,58,47,47,43.833333,43.900000,66.7,44.052500,44.087500,35.0,1
93,57,54,54,43.833333,43.859896,26.6,44.023333,44.109896,86.6,1
94,59,81,81,43.833333,43.900000,66.7,43.997500,44.087500,90.0,1
95,62,46,46,44.000000,44.109375,109.4,47.060000,45.796875,1263.1,1
96,61,53,53,44.000000,44.089583,89.6,47.044167,46.089583,954.6,1
97,60,80,80,44.000000,44.069792,69.8,45.164167,45.194792,30.6,1
98,63,79,79,45.166667,45.236979,70.3,45.330833,45.361979,31.1,1
103,65,47,47,47.333333,47.411979,78.6,47.552500,47.599479,47.0,1
104,64,54,54,47.333333,47.352083,18.7,47.528333,47.602083,73.7,1
105,68,48,48,47.500000,47.601562,101.6,47.700833,47.789062,88.2,1
106,67,55,55,47.500000,47.591667,91.7,47.677500,47.779167,101.7,1
107,71,49,49,47.833333,47.901042,67.7,48.020833,48.026042,5.2,1
108,69,56,56,47.833333,47.841146,7.8,48.044167,48.091146,47.0,1
109,72,50,50,48.000000,48.050521,50.5,48.185000,48.300521,115.5,1
110,73,57,57,48.000000,48.080208,80.2,48.169167,48.267708,98.5,1
111,74,86,86,48.500000,48.569271,69.3,48.708333,48.756771,48.4,1
113,75,81,81,49.000000,49.068229,68.2,49.156667,49.255729,99.1,1
114,76,79,79,49.333333,49.407292,74.0,49.497500,49.532292,34.8,1
117,77,80,80,50.000000,50.035938,35.9,50.130000,50.223438,93.4,1
118,78,79,79,50.166667,50.225521,58.9,50.419167,50.475521,56.4,1
119,79,80,80,50.500000,50.534896,34.9,50.661667,50.784896,123.2,1
120,80,79,79,50.666667,50.754167,87.5,50.914167,50.941667,27.5,1
121,81,80,80,51.000000,51.033854,33.9,51.164167,51.283854,119.7,1
122,82,79,79,51.166667,51.263021,96.4,51.382500,51.450521,68.0,1
123,83,80,80,51.500000,51.562500,62.5,51.664167,51.750000,85.8,1
124,84,79,79,51.666667,51.742188,75.5,51.856667,51.929688,73.0,1
125,87,50,50,52.000000,52.041667,41.7,55.278333,53.479167,1799.2,1
126,85,57,57,52.000000,52.011458,11.5,55.273333,53.073958,2199.4,1
127,88,77,77,52.000000,52.081250,81.2,52.166667,52.206250,39.6,1
132,90,55,55,56.000000,56.012500,12.5,56.323333,56.387500,64.2,1
133,89,59,59,56.000000,56.002604,2.6,56.323333,56.377604,54.3,1
134,91,76,76,56.000000,56.072396,72.4,56.320000,56.384896,64.9,1
135,94,56,56,56.333333,56.411458,78.1,57.796667,57.723958,72.7,1
136,92,60,60,56.333333,56.381771,48.4,57.796667,57.819271,22.6,1
137,93,77,77,56.333333,56.401562,68.2,57.713333,57.714062,0.7,1
139,95,61,61,58.000000,57.997917,2.1,58.333333,58.372917,39.6,1
140,97,79,79,58.000000,58.067708,67.7,58.330833,58.380208,49.4,1
141,98,60,60,58.333333,58.396875,63.5,59.210833,59.334375,123.5,1
143,99,80,80,58.333333,58.406771,73.4,59.094167,59.156771,62.6,1
144,101,59,59,59.333333,59.354687,21.4,59.578333,59.542187,36.1,1
145,100,61,61,59.333333,59.334896,1.6,59.525833,59.584896,59.1,1
147,102,60,60,59.500000,59.594271,94.3,59.807500,59.844271,36.8,1
150,103,59,59,59.833333,59.873438,40.1,61.328333,60.873438,454.9,1
151,104,63,63,59.833333,59.883854,50.5,61.328333,60.571354,757.0,1
153,105,58,58,61.333333,61.340104,6.8,61.575833,61.527604,48.2,1
154,106,61,61,61.333333,61.340104,6.8,61.578333,61.652604,74.3,1
156,107,59,59,61.500000,61.550000,50.0,61.770833,62.800000,1029.2,1
157,108,63,63,61.500000,61.659375,159.4,61.770833,61.846875,76.0,1
159,109,56,56,61.833333,61.848958,15.6,63.525833,63.161458,364.4,1
162,110,53,53,63.833333,63.854687,21.4,63.992500,64.104687,112.2,1
164,112,56,56,64.000000,64.014062,14.1,64.145833,64.201562,55.7,1
165,111,60,60,64.000000,64.004167,4.2,64.148333,64.254167,105.8,1
167,113,55,55,64.166667,64.213542,46.9,64.340833,64.401042,60.2,1
